[ERROR][2015-09-24 12:18:34,802][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2015-09-24 12:18:34,992][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2015-09-24 12:18:35,797][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2015-09-24 12:18:35,809][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2015-09-24 12:18:35,812][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2015-09-24 12:18:35,815][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2015-09-24 12:18:36,544][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[INFO][2015-09-24 12:18:36,808][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2015-09-24 12:18:36,820][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[INFO][2015-09-24 12:18:37,280][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2015-09-24 12:18:37,280][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2015-09-24 12:18:37,286][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2015-09-24 12:18:37,316][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: test.t_user
[INFO][2015-09-24 12:18:37,316][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [id, name, password]
[INFO][2015-09-24 12:18:37,316][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2015-09-24 12:18:37,316][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: [primary]
[INFO][2015-09-24 12:18:37,317][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[INFO][2015-09-24 12:18:37,851][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2015-09-24 12:19:14,002][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2015-09-24 12:19:14,163][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2015-09-24 12:19:14,971][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2015-09-24 12:19:14,982][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2015-09-24 12:19:14,986][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2015-09-24 12:19:14,989][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2015-09-24 12:19:15,819][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[INFO][2015-09-24 12:19:16,111][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2015-09-24 12:19:16,120][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[INFO][2015-09-24 12:19:16,590][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2015-09-24 12:19:16,590][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2015-09-24 12:19:16,597][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2015-09-24 12:19:16,630][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: test.t_user
[INFO][2015-09-24 12:19:16,630][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [id, name, password]
[INFO][2015-09-24 12:19:16,630][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2015-09-24 12:19:16,631][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: [primary]
[INFO][2015-09-24 12:19:16,631][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[WARN][2015-09-24 12:19:29,524][org.hibernate.engine.jdbc.spi.SqlExceptionHelper]SQL Error: 0, SQLState: null
[ERROR][2015-09-24 12:19:29,524][org.hibernate.engine.jdbc.spi.SqlExceptionHelper]Error
[INFO][2015-09-24 12:19:29,671][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2015-09-24 12:21:55,947][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2015-09-24 12:21:56,117][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2015-09-24 12:21:56,951][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2015-09-24 12:21:56,970][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2015-09-24 12:21:56,973][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2015-09-24 12:21:56,975][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2015-09-24 12:21:57,742][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[INFO][2015-09-24 12:21:58,007][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2015-09-24 12:21:58,023][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[INFO][2015-09-24 12:21:58,508][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2015-09-24 12:21:58,508][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2015-09-24 12:21:58,516][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2015-09-24 12:21:58,548][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: test.t_user
[INFO][2015-09-24 12:21:58,548][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [id, name, password]
[INFO][2015-09-24 12:21:58,548][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2015-09-24 12:21:58,548][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: [primary]
[INFO][2015-09-24 12:21:58,549][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[WARN][2015-09-24 12:22:11,500][org.hibernate.engine.jdbc.spi.SqlExceptionHelper]SQL Error: 0, SQLState: null
[ERROR][2015-09-24 12:22:11,500][org.hibernate.engine.jdbc.spi.SqlExceptionHelper]Error
[INFO][2015-09-24 12:22:11,616][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2015-09-24 13:00:14,744][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
